 SST_table_2 cdom443_BL1_3 MLD_table_2
3123 25.669999426230802 0.00201842 36.7675352214459
3105 16.1899996381253 0.00622712 63.4441215581775
2736 27.0299993958324 0.00580788 29.3143471734864
2772 28.329999366775198 0.00845273 23.868106467403198
4091 18.7799995802343 0.0071236999999999984 81.65196345024
3069 22.7299994919449 0.00374156 37.1121566189221
2419 30.2499993238598 0.010440399999999999 12.7344979049391
3321 9.91999977827072 0.0157136 38.8488417751979
3314 9.91999977827072 0.0368368 38.8488417751979
1821 5.74999987147748 0.0226123 14.9658816065799
2597 21.869999511167396 0.0031138000000000003 27.482152314081002
2933 2.44999994523823 0.0060919 80.7611731998133
2428 30.1799993254244 0.00373875 12.886501015088198
2643 27.0599993951619 0.0026587 40.3044352651801
4083 18.9699995759875 0.020223599999999998 104.351994388661
1603 22.859999489039197 0.00247197 20.9045814046326
2880 1.3199999704957 0.00718022 74.37163278145971
935 25.6199994273484 0.0033556 58.12686752799271
3026 21.2299995254725 0.00203584 50.4338086503613
2092 22.8199994899333 0.00161761 48.3753820512386
4046 24.029999462887602 0.00122501 14.635210002990195
2744 22.109999505803 0.00299101 61.5132151130976
2175 18.3699995893985 0.052119500000000006 24.995636089552
1649 23.6099994722754 0.00379723 21.3021874094848
3335 18.769999580457803 0.00120196 27.318327829028807
1198 29.7499993350357 0.0182842 33.4127316927317
3041 20.4999995417893 0.00279807 55.7569646587646
1851 12.569999719038599 0.012084899999999999 54.304038600344896
2600 21.8599995113909 0.00464809 26.687832149913397
1660 24.2199994586408 0.00286002 14.364133157636301
1791 25.9199994206429 0.00150065 15.1639005295961
2578 26.7899994011968 0.00282584 15.6709270725989
3317 9.91999977827072 0.0156707 38.8488417751979
3075 21.569999517872898 0.00379957 26.4215827968256
4103 18.699999582022397 0.00489863 41.3106669219834
2301 9.639999784529213 0.0108307 76.1862879240992
4156 20.3099995460361 0.00400133 28.8053762387341
1868 19.319999568164306 0.024131200000000002 33.735789194955004
3076 21.8599995113909 0.00641258 58.3684975942525
2161 1.5499999653548 0.014136500000000001 52.9296951075725
3077 21.779999513179106 0.00387363 52.88282102988961
3801 0.339999992400408 0.00560795 40.2943596734652
2074 27.1799993924797 0.013788299999999998 55.3103134257826
1184 29.8899993319064 0.016302200000000003 35.4177917102711
1808 2.4899999443441603 0.00989213 14.364711705134802
2070 28.0499993730336 0.0099512 53.98299294174461
2983 26.4999994076788 0.00207666 36.7675352214459
3333 17.9699995983392 0.00149582 19.1143261569003
2389 22.2599995024502 0.00656885 36.8947053981312
940 20.359999544918498 0.00300185 42.1574264018516
2031 23.389999477192802 0.00297214 61.5132151130976
2836 22.479999497532802 0.00154326 19.8148255797775
1715 27.659999381750804 0.00202429 27.637276581662398
1768 26.5399994067848 0.00177662 39.0238909181293
2555 26.0999994166195 0.00964464 17.282616081936
3053 23.1199994832277 0.000674813 38.819109618258096
2625 19.299999568611398 0.0498388 14.882467586863502
3791 19.86999955587089 0.00932665 182.622940107988
1585 24.75999944657089 0.00181605 13.284105090155599
3010 23.9399994648993 0.00341667 27.5288530496172
1132 27.4499993864447 0.00300051 14.4976881004535
2060 28.679999358952 0.00803816 37.4804203330646
3046 20.679999537765998 0.00215042 63.8498316255818
939 20.3299995455891 0.00323662 50.3413934686878
4120 19.8499995563179 0.00505562 56.4309649726931
2196 23.6399994716048 0.00109303 23.0350134935391
1413 24.5399994514883 0.00172605 74.9275867208864
1460 16.349999634549 0.027262599999999998 55.525770166532794
1830 24.2999994568527 0.00156763 23.8267649902947
3706 19.129999572411197 0.00602178 13.918173332826099
3345 22.829999489709703 0.00124857 25.4852122456073
1300 27.919999375939398 0.00196211 40.3044352651801
3323 18.749999580904802 0.00539793 36.1923901762005
3287 20.5699995402247 0.00476988 22.515360742472897
3370 21.459999520331603 0.0006830510000000001 16.998085390062197
1856 14.7299996707588 0.029827299999999998 45.91271077539501
1642 25.8999994210899 0.00338903 14.4976881004535
938 21.579999517649398 0.0030249 64.97644427816671
3303 19.659999560564803 0.00314821 23.317012949310197
2055 28.759999357163892 0.00560892 49.2675435261005
4142 14.5699996743351 0.025843400000000002 88.69511867686691
1926 27.869999377057 0.00218883 24.8554738784575
977 10.1999997720122 0.0256947 18.963140830286502
3030 20.9899995308369 0.00177348 38.4220163174872
1703 26.5099994074553 0.00293062 38.81824626724161
1591 25.259999435395002 0.00379165 15.3044546313047
1133 29.499999340623607 0.00488128 9.94291104545241
2595 21.8599995113909 0.00871354 26.687832149913397
1638 22.5299994964153 0.0020786999999999997 22.0579438288394
3091 18.859999578446104 0.00262841 55.6032691964141
4143 14.5799996741116 0.038400699999999996 56.060980816961695
3298 19.829999556765 0.00349662 42.6614066913334
2192 18.6799995824695 0.0475481 11.8214941743362
3065 22.6799994930625 0.00278602 50.1675791078304
1716 27.5499993842095 0.00233864 34.5859315188358
3120 23.5499994736165 0.00192701 23.0350134935391
3493 21.3099995236844 0.0020545999999999997 13.899226942207902
2262 21.1199995279312 0.00356122 50.3413934686878
2959 22.929999487474603 0.00188295 23.0350134935391
3087 19.3899995665997 0.00292371 81.5749858839656
3005 24.3999994546175 0.00635833 42.8454556339645
3088 19.3899995665997 0.0028304000000000003 81.5749858839656
1602 22.2199995033443 0.0012171 14.699575653165901
2104 20.3399995453656 0.00561372 37.0201790709022
2382 25.169999437406698 0.00495253 22.7720507813874
4140 14.079999685287499 0.019512 39.5945311594018
3103 15.549999652430401 0.00486012 53.57650708656361
2455 22.009999508038202 0.00224703 23.0350134935391
2094 22.419999498873896 0.00131429 48.3753820512386
3318 9.91999977827072 0.0158422 38.8488417751979
2037 20.479999542236303 0.00299327 50.3413934686878
3102 15.8799996450543 0.00527211 45.1730216318997
2021 26.9699993971735 0.00199306 39.0238909181293
3073 21.989999508485198 0.00739151 37.1661633260521
2603 22.419999498873896 0.00343954 16.4353944088247
1498 24.949999442324 0.0030471 23.6220121285077
2834 23.2999994792044 0.00125812 17.97046968603
2096 22.0299995075911 0.00197089 54.5651514072249
934 26.9199993982911 0.00107822 53.324681885194906
2022 26.0599994175136 0.00346916 53.324681885194906
3703 15.199999660253502 0.00730835 11.2727463143202
2029 24.509999452158798 0.00240027 58.12686752799271
4153 17.8099996019155 0.0141299 162.148131749398
3334 17.719999603927103 0.00162174 19.16374494080161
2738 27.489999385550604 0.00968461 34.2584916405346
1774 25.6299994271249 0.00303697 53.324681885194906
1630 25.74999942444261 0.0001702 36.7675352214459
1628 21.899999510496894 0.00241624 13.110116235013301
1873 21.4199995212257 0.00877317 19.8493114026652
4154 19.30999956838789 0.00503672 43.39062143169471
2397 25.5999994277954 0.00818463 30.729206104348002
3028 9.33999979123473 0.0270349 37.395306095617705
1369 29.299999345093998 0.0322714 16.927288300185097
2947 6.75999984890223 0.0105335 108.997750431471
3090 18.9699995759875 0.00305997 77.3875078200605
2454 22.009999508038202 0.00224703 23.0350134935391
2408 29.569999339059 0.00501097 26.325980015766696
1837 21.759999513626102 0.00182318 25.959343400813108
2837 22.739999491721395 0.00172076 16.6217159769651
2044 28.7399993576109 0.00457274 57.3874196588675
3023 21.9399995096028 0.00421893 50.0736374904941
2295 8.789999803528191 0.00908612 64.407767219802
3379 22.1699995044619 0.000422085 16.6217159769651
4155 18.809999579563698 0.00852612 37.9841106220317
3002 24.119999460876002 0.00375695 29.2955449872949
945 3.0499999318271898 0.0189113 18.890194811473602
1770 27.2599993906915 0.00133963 38.329569929643895
3015 21.919999510049802 0.00168257 52.3680839040498
1871 20.8099995348603 0.0107809 23.382275794930802
2743 27.7199993804097 0.00537699 36.4987147305518
2177 18.3699995893985 0.0500077 24.995636089552
2391 21.579999517649398 0.00641367 27.474827630752802
3324 18.6799995824695 0.00503053 26.039969077421603
3702 26.7899994011968 0.00273204 40.3044352651801
2402 29.7499993350357 0.00423607 17.872204173952
3325 18.6799995824695 0.00259362 26.039969077421603
1989 26.65999940410261 0.00227952 36.7675352214459
1867 19.3599995672703 0.0360136 28.441131326415896
4087 18.2599995918572 0.00895203 99.59425350079641
1029 24.679999448359 0.00159292 21.7769527973087
2174 18.3699995893985 0.046426800000000004 24.995636089552
2049 28.8699993547052 0.00534145 62.141740237601006
