 MLD_table_2
2158 52.9296951075725
947 19.4097915843394
4091 81.65196345024
1871 23.382275794930802
2301 76.1862879240992
1314 43.9580297381279
4154 43.39062143169471
3318 38.8488417751979
4142 88.69511867686691
4094 18.868567743427
2197 27.579187537347497
3314 38.8488417751979
2880 74.37163278145971
4083 104.351994388661
3000 42.397786790370496
3323 36.1923901762005
2410 18.9272742515551
4155 37.9841106220317
3213 58.12686752799271
2032 64.97644427816671
2996 38.4279391938504
2240 39.0238909181293
3015 52.3680839040498
3026 50.4338086503613
2355 32.4598853380249
2031 61.5132151130976
2021 39.0238909181293
1427 62.979819492571295
3298 42.6614066913334
3071 83.3442038537662
1577 15.1785166199104
1457 31.216489188508397
2625 14.882467586863502
2043 49.87289062145639
2579 15.6709270725989
955 30.51126325380909
4156 28.8053762387341
2836 19.8148255797775
1185 32.4704184349305
2343 42.1574264018516
3285 21.8357624978648
2781 28.6892409845471
3060 44.5505038226639
1413 74.9275867208864
3101 16.2227106593138
1456 51.83359395468
3338 18.2373608448463
2983 36.7675352214459
3333 19.1143261569003
1944 34.4918548804214
1366 53.324681885194906
3288 22.515360742472897
2060 37.4804203330646
1867 28.441131326415896
2262 50.3413934686878
938 64.97644427816671
3315 43.5886085411373
4098 53.11708258406429
1868 33.735789194955004
3053 38.819109618258096
1029 21.7769527973087
3334 19.16374494080161
1461 55.525770166532794
3049 44.604259845779886
1821 14.9658816065799
1132 14.4976881004535
2049 62.141740237601006
4141 39.5945311594018
3310 61.5132151130976
935 58.12686752799271
1723 27.0994171267917
1656 9.8071027247474
2057 49.2675435261005
3103 53.57650708656361
2578 15.6709270725989
1724 30.600549811487603
1625 11.365354940552402
3105 63.4441215581775
2577 15.6709270725989
1710 31.604793471670604
3320 38.8488417751979
3316 38.8488417751979
3370 16.998085390062197
1715 27.637276581662398
1665 44.688727340918796
3023 50.0736374904941
2738 34.2584916405346
2643 40.3044352651801
3104 56.1440429263115
4143 56.060980816961695
2408 26.325980015766696
2601 26.687832149913397
1630 36.7675352214459
2737 32.7076777132426
4120 56.4309649726931
4140 39.5945311594018
1856 45.91271077539501
2061 59.565599600780295
3791 182.622940107988
2854 64.97644427816671
2382 22.7720507813874
2837 16.6217159769651
1786 16.2326656498065
1619 13.3914810626303
1306 14.5338923183315
3043 52.933976210533
2328 33.339037778407395
3107 56.1440429263115
1983 23.0350134935391
